LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015
102.0220316,19.58401098,853,853,22,22,1,1,0,1,1,2007,1,1
101.6761257,20.11513437,686,686,22,22,1,1,0,1,1,2007,2,1
104.0891056,20.04384064,838,838,44,44,1,1,0,1,1,2007,2,1
101.6567133,21.18902983,158,158,22,22,1,1,0,1,1,2008,1,1
103.6983999,20.35987012,203,203,22,22,1,1,0,1,1,2008,1,1
103.7850614,20.30330442,285,285,22,22,1,1,0,1,1,2008,1,1
101.7542867,20.24412039,342,342,22,22,1,1,0,1,1,2008,1,1
103.1689474,20.12505207,502,502,22,22,1,1,0,1,1,2008,1,1
104.3969937,20.09395388,621,621,11,11,1,1,0,1,1,2008,1,1
101.8671967,19.31491842,723,723,22,22,1,1,0,1,1,2008,1,1
103.0213708,20.38304551,823,823,44,44,1,1,0,1,1,2008,1,1
100.5621457,20.66858967,501,501,25,55,1,1,0,1,1,2008,2,1
103.0051383,20.25957138,656,656,44,44,1,1,0,1,1,2008,2,1
104.0497467,19.958517,99,99,22,22,1,1,0,1,1,2009,1,1
100.8794136,20.21870044,266,266,22,22,1,1,0,1,1,2009,1,1
103.1549883,20.09211679,557,557,22,22,1,1,0,1,1,2009,1,1
100.6573353,19.98963741,728,728,22,22,1,1,0,1,1,2009,1,1
100.9938963,20.95056878,748,748,44,44,1,1,0,1,1,2009,1,1
103.1354207,20.76502079,761,761,44,44,1,1,0,1,1,2009,1,1
100.6797634,20.57447301,889,889,11,11,1,1,0,1,1,2009,1,1
102.3980503,20.14975921,903,903,44,44,1,1,0,1,1,2009,1,1
101.0778375,20.21621599,992,992,44,44,1,1,0,1,1,2009,1,1
102.1579391,19.63929295,268,268,22,22,1,1,0,1,1,2009,2,1
101.5054517,19.70494893,919,919,22,22,1,1,0,1,1,2009,2,1
101.9448086,21.06316175,75,75,22,22,1,1,0,1,1,2010,1,1
100.9683915,19.84411771,434,434,22,22,1,1,0,1,1,2010,1,1
104.0649686,20.67149445,522,522,22,22,1,1,0,1,1,2010,1,1
101.9371259,19.64649898,532,532,22,22,1,1,0,1,1,2010,1,1
100.5484106,19.99666762,545,545,22,22,1,1,0,1,1,2010,1,1
100.8631437,20.21615287,546,546,44,44,1,1,0,1,1,2010,1,1
101.5232583,19.44837823,610,610,22,22,1,1,0,1,1,2010,1,1
102.676737,20.50531319,640,640,22,22,1,1,0,1,1,2010,1,1
102.1638958,20.12420368,666,666,22,22,1,1,0,1,1,2010,1,1
100.7316961,19.70279869,691,691,22,22,1,1,0,1,1,2010,1,1
101.4066934,19.15428672,777,777,22,22,1,1,0,1,1,2010,1,1
101.0708046,18.41183408,892,892,22,22,1,1,0,1,1,2010,1,1
102.0151177,19.40027507,111,111,22,22,1,1,0,1,1,2011,1,1
102.7037996,20.77144224,461,461,22,22,1,1,0,1,1,2011,1,1
100.7610043,20.26240788,655,655,22,22,1,1,0,1,1,2011,1,1
102.0020796,20.29403018,664,664,44,44,1,1,0,1,1,2011,1,1
103.839009,20.54191939,760,760,22,22,1,1,0,1,1,2011,1,1
100.756158,19.95389068,773,773,22,22,1,1,0,1,1,2011,2,1
103.6674179,20.28618599,72,72,22,22,1,1,0,1,1,2012,1,1
103.9926907,20.18400056,173,173,22,22,1,1,0,1,1,2012,1,1
100.5496292,19.74867544,224,224,44,44,1,1,0,1,1,2012,1,1
101.3988766,17.85930605,275,275,44,44,1,1,0,1,1,2012,1,1
