LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015,ccdc_0510_buffer_disturbance_1px,ccdc_1015_buffer_disturbance_1px,coded_0510_buffer_disturbance_1px,coded_1015_buffer_disturbance_1px,fcdm_0510_buffer_disturbance_1px,fcdm_1015_buffer_disturbance_1px,frel_0510_buffer_disturbance_1px,frel_1015_buffer_disturbance_1px,ccdc_0510_buffer_disturbance_2px,ccdc_1015_buffer_disturbance_2px,coded_0510_buffer_disturbance_2px,coded_1015_buffer_disturbance_2px,fcdm_0510_buffer_disturbance_2px,fcdm_1015_buffer_disturbance_2px,frel_0510_buffer_disturbance_2px,frel_1015_buffer_disturbance_2px
101.50040580792285,19.713513387248234,507,507,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
101.47622456368622,18.869750790486513,509,509,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,5,1,1,5,5,1,1,5,5,1,1
100.80858221500097,20.913645270003343,511,511,22,22,1,1,0,1,1,0,1,1,5,5,1,5,1,5,1,1,5,5,1,5,1,5,1,1
101.26878606741602,18.617760136898465,513,513,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1
100.65340742883444,20.56191037218802,517,517,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100.25044992972104,20.435046613985662,524,524,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
100.92245120428713,20.759211592256076,526,526,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
101.42847886294588,20.859545583998592,529,529,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
104.82153085468283,19.981574440841964,537,537,44,44,1,1,0,1,1,0,1,1,3,1,5,1,1,1,1,1,3,1,5,1,5,5,1,1
101.62478584751749,18.679184190698265,539,539,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
101.37365670054018,18.166101900417896,542,542,22,22,1,1,0,1,1,0,1,1,5,5,1,1,1,5,1,1,5,5,1,1,5,5,1,1
103.762151031077,20.25787957168825,544,544,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
103.28238629135546,19.983374389700728,552,552,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
100.87126276630057,21.073712917686624,564,564,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
102.10996470531988,19.93753500508224,565,565,22,22,1,1,0,1,1,0,1,1,1,1,5,1,1,1,1,1,5,1,5,1,5,1,1,1
100.75245551271675,20.386370236365295,573,573,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
